hhid,worker,farmerll,assets,education,tenancy,wetaccess,havecows,conformn,innovaten,resistfz
1,0,0,0.87,0.17,1,1,1,1,0,0
2,0,0,0.5,0.5,1,0,1,0,3,0.87
3,0,0,0.5,1,0,1,1,3,1,1
4,0,0,0.67,0.33,0,0,0,1,0,0.87
5,0,0,0.33,0.17,1,0.87,0,3,1,0
6,0,0,1,0.67,1,1,1,2,0,0
7,0,0,0.5,0.87,0,0,1,2,1,1
8,0,0,0.87,0.67,0,0.87,1,0,1,0
9,0,1,0.87,1,0,1,0,0,0,0.87
10,0,0,1,1,0,1,1,0,1,0.87
11,0,0,0.87,0.17,1,1,1,2,0,0.87
12,0,1,1,0.17,1,1,1,0,1,0.87
13,0,1,1,0.33,1,1,1,0,1,0
14,0,0,0.17,0,1,0,1,1,0,0.87
15,0,0,0.87,0.67,0,0,0,0,0,0
16,1,0,0.33,0.87,0,0,1,1,2,0
17,0,1,0.87,1,0,1,0,0,0,0.87
18,0,0,0.87,0.33,1,0,1,2,3,1
19,1,0,0,0.33,0,0,0,2,1,0
20,0,0,1,0.33,1,0.87,1,0,1,1
21,0,0,0.5,0,1,0,1,0,2,0.87
22,0,0,0.87,0.87,0,0,0,0,2,0.87
23,1,0,0,0.17,0,0,0,0,0,0
24,1,0,0,0.17,0,0,0,2,0,0.87
25,0,1,0.87,0.87,0,1,0,0,1,0
26,0,1,1,0.87,0,1,1,0,0,0.87
27,1,0,0.33,0.5,0,0,1,3,0,0.87
28,1,0,1,0.33,1,1,1,4,0,0.87
29,0,1,1,0.87,1,1,1,1,0,0.87
30,0,0,0.87,0.17,1,1,1,0,0,0.87
31,1,0,0,0.5,0,0,0,0,0,0
32,0,0,0,0.67,0,0,0,5,0,0.87
33,0,0,0,0.87,0,0,0,0,0,0
34,0,0,0.87,0.17,1,1,1,5,3,1
35,1,0,0.17,0.17,0,0,0,0,0,0
36,1,0,0.5,0.17,0,0,1,4,0,0.87
37,1,0,0,0.5,0,0,0,0,1,0
38,0,0,0.87,0.17,0,1,1,0,1,0
39,0,1,1,0.87,0,1,1,0,0,0.87
